scene,method,t,feature,q,area,x,z,width
growth,TMTM,16,A,20.625,1321.875,44.63453117900751,44.64873572446206,10.681818181818182
growth,TMTM,16,B,58.49856321839081,917.578125,53.725440269916604,53.725440269916604,7.414772727272727
growth,TMTM,16,C,83.6484375,1125.0,66.8504402699166,66.86464481537115,9.09090909090909
growth,TMTM,17,A,20.150130548302872,1346.484375,44.52089481537114,44.52089481537114,10.880681818181818
growth,TMTM,17,B,58.49431818181818,928.125,53.725440269916604,53.73964481537114,7.5
growth,TMTM,17,C,83.9506880733945,1149.609375,67.33339481537115,67.33339481537115,9.289772727272727
growth,TMTM,18,A,19.811046511627907,1360.546875,44.32203117900751,44.32203117900751,10.994318181818182
growth,TMTM,18,B,58.556603773584904,931.640625,53.61180390628024,53.61180390628024,7.528409090909091
growth,TMTM,18,C,84.3141592920354,1191.796875,67.56066754264387,67.56066754264387,9.630681818181818
growth,TMTM,19,A,19.52319587628866,1364.0625,44.26521299718933,44.27941754264387,11.022727272727272
growth,TMTM,19,B,58.59375,928.125,53.55498572446206,53.569190269916604,7.5
growth,TMTM,19,C,84.59978070175438,1202.34375,67.53225845173478,67.54646299718932,9.71590909090909
growth,TMTM,20,A,19.199617346938776,1378.125,44.12316754264387,44.13737208809842,11.136363636363637
growth,TMTM,20,B,58.70518867924528,931.640625,53.49816754264387,53.49816754264387,7.528409090909091
growth,TMTM,20,C,84.93803116147309,1241.015625,68.01521299718932,68.01521299718932,10.02840909090909
growth,ST-MTM,0,A,27.361425339366516,776.953125,23.756440782422615,23.756440782422615,9.323437499999997
growth,ST-MTM,0,B,57.67451298701299,541.40625,52.95244361209507,52.95244361209507,6.496875000000003
growth,ST-MTM,0,C,78.10060975609755,720.703125,86.4276636879594,86.4276636879594,8.6484375
growth,ST-MTM,1,A,26.822698744769873,840.234375,23.2743668009305,23.2743668009305,9.60267857142857
growth,ST-MTM,1,B,57.7265625,562.5,52.98824753740259,52.98824753740259,6.428571428571431
growth,ST-MTM,1,C,78.26785714285714,738.28125,86.87393374414397,86.87393374414397,8.4375
growth,ST-MTM,2,A,26.486280487804876,864.84375,22.79172260430563,22.79172260430563,9.584892515923563
growth,ST-MTM,2,B,57.76997041420118,594.140625,52.898702383716625,52.898702383716625,6.5847432324840725
growth,ST-MTM,2,C,78.8556338028169,748.828125,87.44612309445482,87.44612309445482,8.299114251592357
growth,ST-MTM,3,A,25.879360465116278,907.03125,22.352918374804005,22.352918374804005,9.579571320182097
growth,ST-MTM,3,B,57.75423728813559,622.265625,52.906777380733224,52.906777380733224,6.572031487101668
growth,ST-MTM,3,C,79.01785714285714,787.5,87.87685232693983,87.87685232693983,8.317147192716249
growth,ST-MTM,4,A,25.50410583941606,963.28125,21.82100079586136,21.82100079586136,9.830553519061581
growth,ST-MTM,4,B,57.95454545454545,657.421875,52.966520859010934,52.966520859010934,6.709173387096769
growth,ST-MTM,4,C,79.38631221719457,776.953125,88.34902642760476,88.34902642760476,7.929023093841636
growth,ST-MTM,5,A,25.079787234042552,991.40625,21.299400395358717,21.299400395358717,9.664128151260506
growth,ST-MTM,5,B,57.93170103092783,682.03125,52.935127955240475,52.935127955240475,6.648371848739501
growth,ST-MTM,5,C,79.92384453781513,836.71875,88.90201973187786,88.90201973187786,8.15625
growth,ST-MTM,6,A,24.649390243902438,1008.984375,20.87249018374731,20.87249018374731,9.619905821917811
growth,ST-MTM,6,B,57.91454081632653,689.0625,52.90210042783385,52.90210042783385,6.569691780821913
growth,ST-MTM,6,C,80.16953441295547,868.359375,89.36195747089589,89.36195747089589,8.279152397260276
growth,ST-MTM,7,A,24.375,1023.046875,20.533613468412224,20.533613468412224,9.780777815934066
growth,ST-MTM,7,B,57.970360824742265,682.03125,52.84585894660208,52.84585894660208,6.520518543956044
growth,ST-MTM,7,C,80.50154320987654,854.296875,89.75707566746276,89.75707566746276,8.167453640109898
growth,ST-MTM,8,A,24.10438144329897,1023.046875,20.07118462304923,20.07118462304923,9.609185222672062
growth,ST-MTM,8,B,58.125,682.03125,52.733601821231545,52.733601821231545,6.406123481781378
growth,ST-MTM,8,C,81.0205078125,900.0,90.3317616381963,90.3317616381963,8.453441295546554
growth,ST-MTM,9,A,23.475,1054.6875,19.54432856870359,19.54432856870359,9.7226821192053
growth,ST-MTM,9,B,58.048469387755105,689.0625,52.77515846022398,52.77515846022398,6.352152317880794
growth,ST-MTM,9,C,81.25482625482626,910.546875,90.81706105354951,90.81706105354951,8.393915562913918
