t,track,leaf,support_samples,centroid_x,centroid_y,peak_x,peak_y,centroid_anchor_x,centroid_anchor_y,peak_anchor_x,peak_anchor_y
22,8,71,1,16.153846153846153,80.76923076923077,16.153846153846153,80.76923076923077,42.706043956043956,86.02791359419288,4.703793139801013,86.2150842216036
22,10,73,1,48.46153846153846,80.76923076923077,48.46153846153846,80.76923076923077,60.77560697870755,80.9797276300095,21.909340659340657,81.36858183139466
23,7,1,1,16.153846153846153,0.0,16.153846153846153,0.0,6.599703600542719,0.13392857142857145,8.15234041834103,0.13392857142857145
23,4,3,2,56.53846153846153,8.076923076923077,48.46153846153846,0.0,41.71417994998313,6.967886187389511,37.7067391571842,1.6785714285714288
23,2,14,1,0.0,16.153846153846153,0.0,16.153846153846153,0.13392857142857142,13.832417582417584,0.13392857142857148,12.725274725274724
23,11,47,1,80.76923076923077,48.46153846153846,80.76923076923077,48.46153846153846,49.64010989010988,50.35453220126063,49.64010989010988,50.029481799547504
23,9,60,1,64.61538461538461,64.61538461538461,64.61538461538461,64.61538461538461,69.5338758577251,65.33220797770015,71.90106093229224,65.03536921632988
23,8,71,1,16.153846153846153,80.76923076923077,16.153846153846153,80.76923076923077,50.78296703296703,83.09065934065934,50.78296703296703,84.1978021978022
23,10,73,1,48.46153846153846,80.76923076923077,48.46153846153846,80.76923076923077,60.878610446244004,81.40677846826745,57.43027159924224,81.14194975666632
24,7,1,2,8.076923076923077,0.0,16.153846153846153,0.0,38.7345467032967,0.26785714285714346,42.77300824175824,0.2678571428571428
24,4,3,1,48.46153846153846,0.0,48.46153846153846,0.0,58.40613799989889,2.0803571428571432,59.14643275453854,2.0803571428571432
24,11,47,2,80.76923076923077,40.38461538461539,80.76923076923077,48.46153846153846,82.49937545094774,40.529975223558324,82.94477700403029,46.13911634900879
24,9,60,1,64.61538461538461,64.61538461538461,64.61538461538461,64.61538461538461,37.457760989010985,63.72919571534262,41.496222527472526,64.0728191822488
24,8,70,2,8.076923076923077,80.76923076923077,0.0,80.76923076923077,2.042791985121744,84.59958791208791,0.2678571428571429,84.59958791208791
24,10,73,1,48.46153846153846,80.76923076923077,48.46153846153846,80.76923076923077,35.3602810231453,80.36356986695267,35.55579253181199,80.7095060695331
25,7,0,2,8.076923076923077,0.0,0.0,0.0,13.816274541613344,0.26785714285714285,6.9726498672646136,0.2678571428571429
