run,method,calibration,rendered,iou_min,interior_only,reference_nmae,motion_step_nmae,trajectory_nmae,growth_step_log_mae,total_growth_log_mae,distance_nrmse,matched_pairs,growth_pairs,collapsed_intervals,features,reference_features,frames,seconds,affine_scale,affine_shift
direction90,ST-MTM,first_frame_affine,False,0.0,False,0.27140884264450094,0.09319120686012888,0.19144811444741855,0.5402136599308126,0.45734001687088766,0.3553959290522911,183,183,0,288,288,59,0.7530370419844985,0.8090007453782954,10.42566209063736
direction90,ST-MTM,native,True,0.0,False,0.31683686604107286,0.11021255144070806,0.2324717647440998,0.5388409262832201,0.4573210390103829,0.30210114161298335,183,183,0,288,288,59,0.7530370419844985,1.0,0.0
direction90,RA-MTM,native,False,0.0,False,0.019243218514889124,0.020642975177241625,0.029896682523095703,6.858319316225245e-17,8.242927413434621e-17,0.39312054593974555,183,183,0,288,288,59,1.898150791064836,1.0,0.0
direction90,RA-MTM,first_frame_affine,False,0.0,False,0.019243218514889124,0.020642975177241625,0.029896682523095703,6.858319316225245e-17,8.242927413434621e-17,0.39312054593974555,183,183,0,288,288,59,1.898150791064836,1.0,0.0
direction90,RA-MTM,native,True,0.0,False,0.019243986647622325,0.020645920208055172,0.029895138541736126,0.024644565671739626,0.002015420286460066,0.39311897192660034,183,183,0,288,288,59,1.898150791064836,1.0,0.0
beta1,RA-MTM,native,False,0.0,False,0.053593149472988925,0.05278627416343394,0.07089299195472112,6.858319316225245e-17,8.242927413434621e-17,0.5136540814943623,183,183,0,288,288,59,1.1285106249852106,1.0,0.0
beta1,RA-MTM,first_frame_affine,False,0.0,False,0.053593149472988925,0.05278627416343394,0.07089299195472112,6.858319316225245e-17,8.242927413434621e-17,0.5136540814943623,183,183,0,288,288,59,1.1285106249852106,1.0,0.0
beta1,RA-MTM,native,True,0.0,False,0.05359393827719916,0.05278866832228112,0.07089359814475786,0.03285275758073631,0.0017845235580228095,0.5136504739378108,183,183,0,288,288,59,1.1285106249852106,1.0,0.0
beta8,RA-MTM,native,False,0.0,False,0.037710729405967564,0.0352957515712006,0.049551787665085535,6.858319316225245e-17,8.242927413434621e-17,0.5446900227618018,183,183,0,288,288,59,2.066579708014615,1.0,0.0
beta8,RA-MTM,first_frame_affine,False,0.0,False,0.037710729405967564,0.0352957515712006,0.049551787665085535,6.858319316225245e-17,8.242927413434621e-17,0.5446900227618018,183,183,0,288,288,59,2.066579708014615,1.0,0.0
beta8,RA-MTM,native,True,0.0,False,0.037709680095553234,0.03529894752307259,0.04955342212201058,0.016260504210193674,0.0019017986988595322,0.5446913553844371,183,183,0,288,288,59,2.066579708014615,1.0,0.0
budget0,RA-MTM,native,False,0.0,False,0.040132774803141556,0.04071113187417889,0.05497874147635586,6.858319316225245e-17,8.242927413434621e-17,0.5404272929103775,183,183,0,288,288,59,4.053334666998126,1.0,0.0
budget0,RA-MTM,first_frame_affine,False,0.0,False,0.040132774803141556,0.04071113187417889,0.05497874147635586,6.858319316225245e-17,8.242927413434621e-17,0.5404272929103775,183,183,0,288,288,59,4.053334666998126,1.0,0.0
budget0,RA-MTM,native,True,0.0,False,0.04013610371799596,0.04071274099905626,0.054975949213980635,0.02744345485400428,0.0020332093388652417,0.5404254523877313,183,183,0,288,288,59,4.053334666998126,1.0,0.0
budget4,RA-MTM,native,False,0.0,False,0.05164940835884334,0.03940810062883344,0.06567537964648272,6.858319316225245e-17,8.242927413434621e-17,0.5062576688410423,183,183,0,288,288,59,1.848566084052436,1.0,0.0
budget4,RA-MTM,first_frame_affine,False,0.0,False,0.05164940835884334,0.03940810062883344,0.06567537964648272,6.858319316225245e-17,8.242927413434621e-17,0.5062576688410423,183,183,0,288,288,59,1.848566084052436,1.0,0.0
budget4,RA-MTM,native,True,0.0,False,0.05164950399378824,0.039407223099168734,0.06567223193221425,0.023549776044786978,0.0012056287354318413,0.5062591323120735,183,183,0,288,288,59,1.848566084052436,1.0,0.0
