scene,angle,reference_weight,method,calibration,projection_span,tau_max,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,distance_nrmse,error_step_rms,error_step_max
crowding,30.0,1.0,RA-MTM,fixed_reference,163.92304845413264,0.0,0.005265927129936363,0.00610042339640731,9.678663320065179e-05,9.678663320065181e-05,0.00012153058119016243,4.1561083278611e-17,1.2463988174893358e-16,,0.27559919124245397,0.043573639477459986,0.16817679880097103
crowding,30.0,4.0,RA-MTM,fixed_reference,163.92304845413264,0.0,0.004666328626494187,0.00610042339640731,5.206189414931847e-05,5.2061894149318465e-05,6.774850308548609e-05,4.1561083278611e-17,1.2463988174893358e-16,,0.2757196980948902,0.024246017980408124,0.09216860199667565
crowding,30.0,,TMTM,first_frame_affine,163.92304845413264,,0.018942355383724102,0.04454127457154788,0.018080011584235493,0.018078086959433887,0.0019117400588227775,9.123922682189681e-17,1.5994150448506162e-16,,0.2821162584235561,0.37405780632391494,0.734316311117567
crowding,30.0,,ST-MTM,first_frame_affine,163.92304845413264,,0.018570015766401996,0.04424801092783339,0.01941638192872269,0.01941638192872269,0.0018570705020701064,0.025927862721388955,0.025927862721389028,,0.26701180962393967,0.33912304101974133,0.5747447615730152
crowding,60.0,0.25,RA-MTM,fixed_reference,163.92304845413264,0.0,0.004396102897344511,0.00610042339640731,0.0006766508935846896,0.0003726431282399247,8.60317351013807e-05,4.1561083278611e-17,1.2463988174893358e-16,,0.013371131222069043,0.025040104212019743,0.08010685953772168
crowding,60.0,1.0,RA-MTM,fixed_reference,163.92304845413264,0.0,0.004019777378714094,0.00610042339640731,0.0010243379981090374,0.00019232308230240493,0.0001045188590211424,4.1561083278611e-17,1.2463988174893358e-16,,0.014090291261291162,0.026300739689522127,0.06547421016338006
crowding,60.0,4.0,RA-MTM,fixed_reference,163.92304845413264,0.0,0.0025410478110965235,0.00478329383284201,0.0008458422832102582,1.3410133741727864e-08,0.00011076681927821916,4.1561083278611e-17,1.2463988174893358e-16,,0.02237389749531079,0.021679950798153894,0.040255816229517905
crowding,60.0,,TMTM,first_frame_affine,163.92304845413264,,0.013241645529442835,0.03442949413336958,0.009745798992240446,0.009696288633292112,0.001530574196050764,9.658795753949197e-17,4.6013540200284806e-17,,0.08198262451616306,0.2977263675966369,0.6295840858889221
crowding,60.0,,ST-MTM,first_frame_affine,163.92304845413264,,0.01095575231050932,0.023445977899556797,0.011477672072171345,0.011477672072171347,0.00109705021103838,0.025927862721388997,0.025927862721389007,,0.025017796106033226,0.19608125220570619,0.3670837624932517
crowding,90.0,0.25,RA-MTM,fixed_reference,120.00000000000001,0.0,0.005401683192504221,0.008333333333333331,0.0006926637245535581,0.00024487274392141946,0.00016460630063831394,4.1561083278611e-17,1.2463988174893358e-16,,0.008387604886407374,0.029205771304795115,0.07078862965678923
crowding,90.0,1.0,RA-MTM,fixed_reference,120.00000000000001,0.0,0.004780193281371836,0.008333333333333331,0.001212858326293922,0.0002791436225274848,0.0001802392099010694,4.1561083278611e-17,1.2463988174893358e-16,,0.009662816269277398,0.029135385509237822,0.0654814985583414
crowding,90.0,4.0,RA-MTM,fixed_reference,120.00000000000001,0.0,0.002838885042811169,0.0056056974197008095,0.001287051009544843,1.4874387527600654e-08,0.0001411499731432829,4.1561083278611e-17,1.2463988174893358e-16,,0.01852584331920317,0.020271879637098734,0.041237353207691285
crowding,90.0,,TMTM,first_frame_affine,120.00000000000001,,0.01639297064175127,0.02542723696226663,0.004877858362979826,0.0018326220937178682,0.0016842385852889887,6.250786925103095e-17,1.5378323614534396e-16,,0.09077102890974416,0.24269532603764737,0.5577080116605302
crowding,90.0,,ST-MTM,first_frame_affine,120.00000000000001,,0.002876111475707126,0.007730925305558559,0.0030748559464824966,0.0006331927348483512,0.0005254459136323447,0.025927862721389017,0.02592786272138902,,0.044265422515380126,0.07844342455690485,0.1790757206393856
