scene,mode,t,feature,q,x,width,true_measure
translation,NoTime,1,0,23.099999999999998,23.10000248621056,4.68,78
translation,NoTime,1,1,39.199999999999996,39.19998837343489,4.859999999999999,81
translation,NoTime,1,2,60.19999999999999,60.200009140354524,5.46,91
translation,NoTime,2,0,24.099999999999998,24.10000248621056,4.68,78
translation,NoTime,2,1,40.199999999999996,40.19998837343489,4.859999999999999,81
translation,NoTime,2,2,61.19999999999999,61.200009140354524,5.46,91
translation,NoTime,3,0,25.099999999999998,25.10000248621056,4.68,78
translation,NoTime,3,1,41.199999999999996,41.19998837343489,4.859999999999999,81
translation,NoTime,3,2,62.19999999999999,62.200009140354524,5.46,91
translation,NoTime,4,0,26.099999999999998,26.100002486210563,4.68,78
translation,NoTime,4,1,42.199999999999996,42.1999883734349,4.859999999999999,81
translation,NoTime,4,2,63.199999999999996,63.20000914035453,5.46,91
translation,NoTime,5,0,27.1,27.100002486210567,4.68,78
translation,NoTime,5,1,43.199999999999996,43.19998837343489,4.859999999999999,81
translation,NoTime,5,2,64.2,64.20000914035454,5.46,91
translation,NoTime,6,0,28.1,28.100002486210567,4.68,78
translation,NoTime,6,1,44.199999999999996,44.19998837343489,4.859999999999999,81
translation,NoTime,6,2,65.2,65.20000914035454,5.46,91
translation,NoTime,7,0,29.1,29.100002486210567,4.68,78
translation,NoTime,7,1,45.199999999999996,45.19998837343489,4.859999999999999,81
translation,NoTime,7,2,66.2,66.20000914035454,5.46,91
translation,NoTime,8,0,30.1,30.100002486210567,4.68,78
translation,NoTime,8,1,46.199999999999996,46.19998837343489,4.859999999999999,81
translation,NoTime,8,2,67.2,67.20000914035454,5.46,91
translation,NoTime,9,0,31.1,31.100002486210567,4.68,78
translation,NoTime,9,1,47.199999999999996,47.19998837343489,4.859999999999999,81
translation,NoTime,9,2,68.2,68.20000914035454,5.46,91
translation,NoTime,10,0,32.1,32.10000248621056,4.68,78
translation,NoTime,10,1,48.199999999999996,48.19998837343489,4.859999999999999,81
translation,NoTime,10,2,69.2,69.20000914035454,5.46,91
translation,NoTime,11,0,33.099999999999994,33.100002486210556,4.68,78
translation,NoTime,11,1,49.199999999999996,49.19998837343489,4.859999999999999,81
translation,NoTime,11,2,70.2,70.20000914035454,5.46,91
translation,NoTime,12,0,34.1,34.10000248621056,4.68,78
translation,NoTime,12,1,50.199999999999996,50.19998837343489,4.859999999999999,81
translation,NoTime,12,2,71.2,71.20000914035454,5.46,91
