scene,t,hierarchy_switch,tau,budget,reference_max,any_initial_layout_bound,initial_error_box_bound,cumulative_motion_lower_bound,cumulative_motion_max,step_motion_lower_bound,step_motion_max
advection_diffusion,16,False,12.686184853235176,13.686184853235176,13.686184853235176,0.0,0.34087290767648426,0.34087290767648426,0.34087290767648426,0.07605280892983046,0.07605280892983046
advection_diffusion,17,False,12.608586267672536,13.608586267672536,13.608586267672536,0.0,0.41847149323912447,0.41847149323912447,0.41847149323912447,0.07759858556264021,0.07759858556264021
advection_diffusion,18,False,12.541912127993484,13.541912127993484,13.541912127993484,0.0,0.4851456329181758,0.4851456329181758,0.4851456329181758,0.06667413967905134,0.06667413967905134
advection_diffusion,19,False,12.440832817305349,13.440832817305349,13.440832817305349,0.0,0.5862249436063109,0.5862249436063109,0.5862249436063394,0.10107931068813514,0.10107931068816356
advection_diffusion,20,False,12.407642704439468,13.407642704439468,13.407642704439468,0.0,0.6194150564721923,0.6194150564721923,0.6194150564722207,0.03319011286588136,0.03319011286588136
translation_growth,0,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,1,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,2,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,3,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,4,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,5,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,6,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,7,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,8,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,9,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,10,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,11,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,12,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,13,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,14,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,15,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,16,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,17,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,18,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,19,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_growth,20,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
