scene,method,distance_nrmse,reference_nmae,trajectory_nmae,growth_log_mae,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
topology_change,RA-MTM,0.1274078952490121,0.027955492259959767,0.0005597093887847792,2.0556473190325163e-17,0.02796809165212238,0.04662184796976931,0.0005436726985725304,5.3703705534948e-05,0.0002802233229191827,0.003878307006042339,0.0011924461155946014,0.01342302033214055
crowding,TMTM,1.4501661903695802,0.18682449494949496,0.007975694444444506,6.873841773558098e-17,0.18682449494949496,0.19406250000000008,0.007975694444444506,0.001392361111111097,0.0014895833333333523,6.873841773558098e-17,8.109832250191573e-17,
crowding,ST-MTM,0.0017826967254127846,0.06634917505980578,0.0025970432654303125,0.04128206196298351,0.06632574915008237,0.06859461567017917,0.0026160120033243248,0.0001628050626039042,0.0004768952725967276,0.04170743292145178,0.04169255199254263,
crowding,RA-MTM,0.5092262743906134,0.023862373737373748,0.0005638888888888527,5.850354922731782e-17,0.023894634547724433,0.024469830510774605,0.0005791792189111818,0.0001078797562829011,0.0002477321147479028,0.0011185452801344572,0.0010410973348995412,
summary_only,ST-MTM,0.12629528330068038,0.029837865682777284,0.0029865741223948352,0.06554098062973857,,,,,,,,
summary_only,RA-MTM,0.1274078952490121,0.027955492259959767,0.0005597093887847792,2.0556473190325163e-17,,,,,,,,
gaussian2d_translation,TMTM,0.7715904801608663,0.13009680585016042,0.05215364864996234,3.972516759986888e-17,0.13009680585016042,0.21905586202110275,0.05215364864996234,0.052153648649962345,0.004989275162543439,3.972516759986888e-17,7.144892316679474e-17,
gaussian2d_translation,ST-MTM,0.03635737208780322,0.06646209049134995,0.05248114233683105,0.0228224941613621,0.06646000599654855,0.12825466716054798,0.05238847481933652,0.05238847481933653,0.005005311672351575,0.026331231012307724,0.02605855990521813,
gaussian2d_translation,RA-MTM,0.19751903114922267,0.008333333333333333,0.0,3.5908775952719906e-17,0.00833836950193314,0.008539349244153342,0.00017941463322733892,8.224677691398144e-05,0.00015858642455659092,0.003208742190796994,0.0010841278668656102,
gaussian2d_growth,TMTM,0.7335852611074437,0.12195956793262086,0.009262479513062517,4.533410683886056e-17,0.12195956793262086,0.20278867465218495,0.009262479513062517,0.005268234459496659,0.0014032840815561215,4.533410683886056e-17,5.134781488891349e-17,
gaussian2d_growth,ST-MTM,0.036215324901220224,0.05290794586122283,0.007016416073905543,0.32476069720008643,0.05289899793143466,0.08839819728442809,0.00680565000004688,0.0010461429007327127,0.0008925351561575203,0.328776710469281,0.32880992647426205,
gaussian2d_growth,RA-MTM,0.2033444413484118,0.008333333333333333,0.0,5.689893001203927e-17,0.008326945341510574,0.008556624209894009,0.00015435468445875857,7.598560807368019e-05,0.00016235663104157016,0.0027350055810830077,0.0012148999084874428,
gaussian2d_translation_growth,TMTM,0.7308480328544892,0.1382788550822526,0.04680959746688109,5.967448757360216e-17,0.1382788550822526,0.22248819306319503,0.04680959746688109,0.04680959746688109,0.0044655382126559204,5.967448757360216e-17,2.6367796834847467e-17,
gaussian2d_translation_growth,ST-MTM,0.03619930586181604,0.06996995730015071,0.051643088628497306,0.3244577312591267,0.06992921056346271,0.13712846920205438,0.051806914990992,0.051806914990992,0.0049350773540700645,0.3181611774423345,0.3183235182966393,
gaussian2d_translation_growth,RA-MTM,0.20309292121146372,0.008333333333333333,0.0,4.5796699765787705e-17,0.008358286018872157,0.008547550573390706,0.0001976172842104784,7.515978240883073e-05,0.00015637540991122467,0.0026094871058797244,0.0015194048745411717,
gaussian2d_local_growth,TMTM,0.7749712428025417,0.11408058296216805,0.001718883108487787,4.464021744846984e-17,0.11408058296216805,0.17245248334183136,0.001718883108487787,0.000432002095760107,0.0006780585844318952,4.464021744846984e-17,5.950101522600448e-17,
gaussian2d_local_growth,ST-MTM,0.036365426941675744,0.046678726550696284,0.000492569734850079,0.054948630656003944,0.046707760587889835,0.07018593779989299,0.000497805230737318,0.00030741123575876895,0.0004292153541776036,0.05323480022575266,0.05303072090568299,
