scale,crowding,extra_budget,t,tau,budget,reference_max,projection_distortion,geometry_lower_bound,distance_nrmse,global_gap_bound
0.6,0.8,1.0,0,1.0119317867572306,2.0119317867572306,2.0119317867572306,0.8178521405579473,0.7435014274644756,0.7615006546857396,0.0005190169167690328
0.6,0.8,1.0,1,1.23828125,2.23828125,2.23828125,0.8234220396131745,0.740644804790227,0.7605710112764175,1.8453647498972714e-09
0.6,0.8,1.0,2,1.409840091550791,2.409840091550791,2.409840091550791,0.8264390974671171,0.7371898983098765,0.7587370534977144,5.102911472931737e-06
0.6,0.8,1.0,3,1.3051284200643778,2.305128420064378,2.305128420064378,0.8250874985317989,0.7402518658418672,0.7608250640493333,1.5021786339275423e-05
0.6,0.8,1.0,4,1.2985072126337514,2.2985072126337514,2.2985072126337514,0.8248227744932484,0.7398270939464722,0.7603899641240016,0.0
0.6,0.8,1.0,5,1.5868003680230771,2.586800368023077,2.586800368023077,0.8314434168877229,0.7356110772189081,0.758764966824097,2.133534781023627e-05
0.6,0.8,1.0,6,1.8338425727739747,2.8338425727739747,2.8338425727739747,0.8379995048978837,0.7328446506048752,0.7582408393397734,4.869388658335083e-05
0.6,0.8,1.0,7,1.9503224511787494,2.9503224511787494,2.9503224511787494,0.8417712709189642,0.7328952428653336,0.7590719133889636,4.092726157978177e-12
0.6,0.8,1.0,8,2.0100808587249333,3.0100808587249333,3.0100808587249333,0.8439279211027326,0.7325140075047206,0.7593020174377415,3.5457105695968494e-06
0.6,0.8,1.0,9,2.225822679924235,3.225822679924235,3.225822679924235,0.8497853611203279,0.7305171976965746,0.759110131060914,0.0
0.6,0.8,1.0,10,2.305400325980216,3.305400325980216,3.305400325980216,0.8510611713580781,0.7285811421700912,0.7579865856066417,0.0
0.6,0.8,1.0,11,2.2531752950643664,3.2531752950643664,3.2531752950643664,0.8502438026236938,0.7302070542358927,0.7590973106694114,2.2737367544323206e-13
0.6,0.8,1.0,12,2.323451480322973,3.323451480322973,3.323451480322973,0.8522825272067821,0.7291720840456458,0.7586647828432589,0.0
0.6,0.8,1.0,13,2.5194639008620783,3.5194639008620783,3.5194639008620783,0.8568690711337391,0.7265964763200139,0.7578121761457514,2.2737367544323206e-13
0.6,0.8,1.0,14,2.762776583473155,3.762776583473155,3.762776583473155,0.8633961548731824,0.7238273606952063,0.7572715332048385,2.2737367544323206e-13
0.6,0.8,1.0,15,2.8592470366379104,3.8592470366379104,3.8592470366379104,0.8668977604963352,0.7242546444501123,0.7583491621894478,0.0
0.6,0.8,1.0,16,3.0122823978976356,4.012282397897636,4.012282397897636,0.8703530644200271,0.7219038564249831,0.7573242748552235,0.0
0.6,0.8,1.0,17,3.201075851797654,4.201075851797654,4.201075851797654,0.8758427585927213,0.7205857909408452,0.7575032415082463,0.0
0.6,0.8,1.0,18,3.276274102249971,4.276274102249971,4.276274102249971,0.8775963522218946,0.7192036310257732,0.7568427281536041,0.0
0.6,0.8,1.0,19,3.2306334705694297,4.23063347056943,4.23063347056943,0.8772638741215494,0.7209520026406119,0.7582282468216808,0.0
0.6,0.8,1.0,20,3.296216972907729,4.296216972907729,4.296216972907729,0.8785612151394935,0.7196460952254884,0.757475997406501,0.0
0.6,0.8,4.0,0,1.0119317867572306,5.011931786757231,5.011931786757231,0.8178521405579473,0.6349125346075395,0.6778020835662659,5.1829422773153055e-05
0.6,0.8,4.0,1,1.23828125,5.23828125,5.23828125,0.8234220396131745,0.6321268769569827,0.6767409021007587,6.420470754164853e-06
0.6,0.8,4.0,2,1.409840091550791,5.409840091550791,5.409840091550791,0.8264390974671171,0.6286319315981469,0.6747422003254858,4.547473508864641e-13
