scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
topology_change,NoTime,defined,11,3.055077396707108,0.0267029092478559,0.02685967919647858,2.0185873175002847e-17,0.13137152929062132,0.015989468180060428,0.4084557842966561,0,0.0,1.4849999999999994,5.675262148337595,-0.9541327316023285,0.13603462500032037,0.025458978305892565,0.046631665581307845,0.00048400410395739245,6.190234177102146e-11,0.0002225242437321325,2.0556473190325163e-17,1.231653667943533e-16,0.0,,,,,,,,
topology_change,NoReferencePenalty,defined,11,3.633062520048297,0.03552184388286213,0.030181308338141033,2.0185873175002847e-17,0.12634087358791196,0.015968238401663646,0.4134178099165027,0,0.0,1.4849999999999994,5.675262148337595,-0.7421784963466393,0.12612241704482585,0.030275521000402476,0.046339597331545024,0.0006981559418592982,8.080634450458035e-09,0.00029601536569051775,2.0556473190325163e-17,1.231653667943533e-16,0.0,,,,,,,,
topology_change,ReferenceOnly,defined,11,2.6889355999814044,0.025233424526439396,0.02618880700293049,2.0185873175002847e-17,0.13984601130887134,0.016017894458842157,0.40548199385171557,0,0.0,1.4850000000000065,5.675262148337595,-0.9999999999993818,0.09082174999639392,0.022407796666511704,0.046370150187738206,0.00040591579532262153,1.8229862064345072e-15,0.0002102785377203283,2.0556473190325163e-17,1.231653667943533e-16,0.0,,,,,,,,
topology_change,LegacyObjective,defined,11,3.6292711254365404,0.03491786132845291,0.029343400836456545,2.0185873175002847e-17,0.12633813279272305,0.015967533020046287,0.4132084593730667,0,0.0,1.4849999999999994,5.675262148337595,-0.754801982485219,0.10904445801861584,0.030243926045304504,0.046338777465011215,0.0007002996472154447,6.041683356568702e-09,0.0002909821777371076,2.0556473190325163e-17,1.231653667943533e-16,0.0,,,,,,,,
topology_change,TightBudget,defined,11,3.0550805220302806,0.026902642598646765,0.027858025075096916,2.0185873175002847e-17,0.13138508293342382,0.015993847345062692,0.40548199385156636,0,0.0,1.4849999999999994,5.675262148337595,1.4210854715202004e-14,1.5769183750962839,0.025459004350252338,0.046370150187734646,0.0004954685584562631,8.955276313371785e-05,0.00022418868832205636,2.0556473190325163e-17,1.231653667943533e-16,0.0,,,,,,,,
topology_change,LooseBudget,defined,11,3.0550805195546826,0.02669563930367369,0.02684592995746273,2.0185873175002847e-17,0.13137162622704907,0.015989523158723585,0.40851817634560916,0,0.0,1.4849999999999994,5.675262148337595,-119.95420928214241,0.40611645800527185,0.025459004329622354,0.04663130955101209,0.00048290731792910435,5.625129991434126e-17,0.00022246366086394742,2.0556473190325163e-17,1.231653667943533e-16,0.0,,,,,,,,
crowding,Full,defined,11,2.8634848484848496,0.012333333333332775,0.04008333333333312,5.0464682937507114e-17,0.5092262743906134,1.1136859516406366e-32,,0,0.0,2.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.029777332907542586,0.023862373737373748,0.02437083333333331,0.0005638888888888527,8.881784197001253e-18,0.00010277777777777312,5.850354922731782e-17,8.135853102331225e-17,,,,,,,,,
crowding,RelativeWidth,defined,11,3.001893939393936,0.015416666666667567,0.015416666666666856,0.03654193424579668,0.495730024921806,1.4571116748630616e-32,,0,0.0,2.7875000000000085,2.079166666666673,0.0,0.030242374981753528,0.0250157828282828,0.025654513888888935,0.0007048611111111036,0.0,0.00012847222222222974,0.04128206196298378,0.041282061962983826,,,,,,,,,
crowding,OldTime,defined,11,2.8634848484848496,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.5092262743906134,1.1136859516406366e-32,,0,0.0,2.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.029929582960903645,0.023862373737373748,0.02437083333333331,0.0005638888888888527,8.881784197001253e-18,0.00010277777777777312,5.850354922731782e-17,8.135853102331225e-17,,,,,,,,,
crowding,NoTime,defined,11,2.8634848484848496,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.5092262743906134,1.1136859516406366e-32,,0,0.0,2.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.030710124992765486,0.023862373737373748,0.02437083333333331,0.0005638888888888527,8.881784197001253e-18,0.00010277777777777312,5.850354922731782e-17,8.135853102331225e-17,,,,,,,,,
