scene,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
growth,Dual-Reference RA-MTM,dual_native,0.00842105283225778,0.00841869546733943,0.008326945341510574,0.00850467914239802,0.008556624209894009,0.009435302657458369,0.00024042959545318826,0.00015640887196134094,0.00025811127534636875,0.06908175240823683,53,0,60,0.12
translation_growth,TMTM,initial_y_oracle,0.10477965337448805,0.09883830277024853,0.1382788550822526,0.01791876667413078,0.22248819306319503,0.04480706935975606,0.0035171017164744244,0.002786778731977759,0.03609021998730462,1.2262575874839106,56,1,60,0.12
translation_growth,ST-MTM,initial_y_oracle,0.0592670300334659,0.05407457041335534,0.06992921056346271,0.01791876667413078,0.13712846920205438,0.04480706935975606,0.0038301679983332236,0.002585712802057495,0.03961766717192156,1.5032538711361334,56,6,60,0.12
translation_growth,X-only RA-MTM,initial_y_oracle,0.016952865636174274,0.01469206381793259,0.008358286018872157,0.01791876667413078,0.008547550573390706,0.04480706935975606,0.001329689742193802,0.0003835331031935755,0.013306214971015156,0.41515948515739254,56,0,60,0.12
translation_growth,Dual-Reference RA-MTM,dual_native,0.008451591155924034,0.008447418431593924,0.008358286018872157,0.008529497370269791,0.008547550573390706,0.009366669712614382,0.00027335699424409395,0.00014417912651289088,0.0002967701143185535,0.06087698202046705,56,0,60,0.12
local_growth,TMTM,initial_y_oracle,0.0901694741133889,0.08067003980511772,0.11408058296216805,0.0006867362948784186,0.17245248334183136,0.002065736717641601,0.000644302433918889,0.0004490500832182622,0.0013913924769688953,1.5693836304400939,19,3,60,0.12
local_growth,ST-MTM,initial_y_oracle,0.03509098923459452,0.03303351991629603,0.046707760587889835,0.0006867362948784186,0.07018593779989299,0.002065736717641601,0.0005077438195734025,0.0003645483407999079,0.0006743297257780798,1.4300956643251326,19,5,60,0.12
local_growth,X-only RA-MTM,initial_y_oracle,0.005946343897229286,0.0059451622269232505,0.008354212468168363,0.0006867362948784186,0.008557909024292758,0.002065736717641601,0.0003475337118101064,0.00022326497274593822,0.0005588331366068925,1.113395458023253,19,3,60,0.12
local_growth,Dual-Reference RA-MTM,dual_native,0.008344822255154758,0.008344234694043022,0.008354212468168363,0.00833307026494577,0.008557909024292758,0.008546456286836203,0.0001209950040631788,7.649321443935572e-05,0.00018766594823724404,0.11355608587163649,19,0,60,0.12
hierarchy_change,TMTM,initial_y_oracle,0.24122727473591718,0.23356244562114975,0.31246982623937775,0.05466920724876217,0.4490616546288786,0.23817637988729745,0.012850278139749366,0.010810102218049953,0.14038991264068276,1.4837881904565469,76,0,80,0.12
hierarchy_change,ST-MTM,initial_y_oracle,0.09208819718809437,0.08411820146095744,0.07779078671290703,0.05466920724876217,0.15493098306509298,0.23817637988729745,0.008065132931586474,0.006620341605564575,0.08899265176843746,1.543917354443192,76,15,80,0.12
hierarchy_change,X-only RA-MTM,initial_y_oracle,0.07046579033278026,0.04582626067856981,0.013797601601413616,0.05466920724876217,0.04901521990917589,0.23817637988729745,0.00646295039313718,0.005722386381502925,0.07870120175566203,1.044494139714916,76,4,80,0.12
hierarchy_change,Dual-Reference RA-MTM,dual_native,0.06426668408589056,0.051972782227717514,0.013797601601413616,0.06915067462911409,0.04901521990917589,0.19166548198769534,0.01791352285589002,0.01615627474295469,0.07864149352121727,0.923088608691407,76,0,80,0.12
crowding,TMTM,initial_y_oracle,0.024663526795590737,0.02170726702329734,0.030682469682648282,0.0007859941601417529,0.06221238190183178,0.0017641445336884054,0.0021203819333637116,0.0019238191100585378,0.02099314832800324,1.78703923021363,54,13,60,0.12
crowding,ST-MTM,initial_y_oracle,0.13405283533975443,0.11649388526494578,0.16474007460241882,0.0007859941601417529,0.281908435270873,0.0017641445336884054,0.0021525882346618425,0.0018292695003857885,0.021280653894472125,2.219059340017603,54,26,60,0.12
crowding,X-only RA-MTM,initial_y_oracle,0.00553688984413798,0.0052842188911003335,0.0073900506786149225,0.0007859941601417529,0.011383271027841433,0.0017641445336884054,0.0006825235785934955,0.0003255387123965119,0.0008632008837114748,0.32144614445032504,54,0,60,0.12
crowding,Dual-Reference RA-MTM,dual_native,0.006016213191551154,0.005694681470876318,0.0073900506786149225,0.002870707178995381,0.011383271027841433,0.005566278374184606,0.0003799252907843766,0.00030146148376932873,0.00108808919170135,0.10472255972432534,54,0,60,0.12
advection_diffusion,TMTM,initial_y_oracle,0.1758031230745842,0.15684454579468962,0.2214624507743703,0.009542098662710113,0.4183505313152111,0.018709709100825023,0.002236845416418039,0.0018249133868024688,0.02286380010151277,1.4963463736559173,80,8,80,0.12
advection_diffusion,ST-MTM,initial_y_oracle,0.08927037436397259,0.0797897412699423,0.11161252858331834,0.009542098662710113,0.17535728734084252,0.018709709100825023,0.0024176422257821428,0.0021607672883483574,0.025039376049526614,2.5059652873301794,80,50,80,0.12
advection_diffusion,X-only RA-MTM,initial_y_oracle,0.05720441217759478,0.049728018295351194,0.06876371262346516,0.009542098662710113,0.11683610809308895,0.018709709100825023,0.000826019188312838,0.0003552441107350265,0.007157916652723822,0.30973704030343874,80,0,80,0.12
advection_diffusion,Dual-Reference RA-MTM,dual_native,0.06896403319759178,0.062449372175886725,0.06876371262346516,0.053112256968376154,0.11683610809308895,0.06817775287843642,0.0004853395797007079,0.0003092777427854544,0.0009116599692850439,0.12970058011999167,80,0,80,0.12
