scene,t,axis,tau,budget,achieved,global_gap
hierarchy_conflict,3,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,4,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,5,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,6,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,7,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,8,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,9,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,10,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,11,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,12,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,13,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,14,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,15,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,16,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,17,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,18,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,19,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,20,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
motion_growth,0,x,0.0,1.0,1.0,5.514959212860049e-05
motion_growth,1,x,0.0,1.0,1.0,4.995082181835642e-05
motion_growth,2,x,0.0,1.0,1.0,5.0834098090035695e-05
motion_growth,3,x,0.0,1.0,1.0,4.899089771015497e-05
motion_growth,4,x,0.0,1.0,1.0,5.123626512215651e-05
motion_growth,5,x,0.0,1.0,1.0,4.661821202489591e-05
motion_growth,6,x,0.0,1.0,1.0,4.788351688489456e-05
motion_growth,7,x,0.0,1.0,1.0,4.3221075415544874e-05
motion_growth,8,x,0.0,1.0,1.0,4.5268420677757604e-05
motion_growth,9,x,0.0,1.0,1.0,4.303532784888375e-05
motion_growth,10,x,0.0,1.0,1.0,4.243655219227094e-05
motion_growth,11,x,0.0,1.0,1.0,4.045864322677062e-05
motion_growth,12,x,0.0,1.0,1.0,4.1677925381122805e-05
motion_growth,13,x,0.0,1.0,1.0,3.898213128650241e-05
motion_growth,14,x,0.0,1.0,1.0,3.627626463753586e-05
motion_growth,15,x,0.0,1.0,1.0,3.9698842044799676e-05
motion_growth,16,x,0.0,1.0,1.0,3.457970964859669e-05
motion_growth,17,x,0.0,1.0,1.0,3.838568289893374e-05
motion_growth,18,x,0.0,1.0,1.0,3.797901625546274e-05
motion_growth,19,x,0.0,1.0,1.0,3.7544331334515846e-05
motion_growth,20,x,0.0,1.0,1.0,3.498616327135551e-05
motion_growth,0,y,0.0,1.0,1.0,0.00010657505896460862
motion_growth,1,y,0.0,1.0,1.0,8.859618395717916e-05
motion_growth,2,y,0.0,1.0,1.0,9.16152883974064e-05
motion_growth,3,y,0.0,1.0,1.0,9.138663608609932e-05
motion_growth,4,y,0.0,1.0,1.0,9.506260659009058e-05
motion_growth,5,y,0.0,1.0,1.0,8.78498197494082e-05
motion_growth,6,y,0.0,1.0,1.0,8.74283779239704e-05
motion_growth,7,y,0.0,1.0,1.0,8.273720999341094e-05
motion_growth,8,y,0.0,1.0,1.0,8.956524652603548e-05
motion_growth,9,y,0.0,1.0,1.0,8.188648678242316e-05
motion_growth,10,y,0.0,1.0,1.0,7.564494734424443e-05
motion_growth,11,y,0.0,1.0,1.0,7.702024061018165e-05
motion_growth,12,y,0.0,1.0,1.0,8.45320775511027e-05
motion_growth,13,y,0.0,1.0,1.0,7.463366256388326e-05
motion_growth,14,y,0.0,1.0,1.0,7.727573915872199e-05
motion_growth,15,y,0.0,1.0,1.0,8.472504686096727e-05
motion_growth,16,y,0.0,1.0,1.0,7.923226786488158e-05
motion_growth,17,y,0.0,1.0,1.0,8.612541353159031e-05
motion_growth,18,y,0.0,1.0,1.0,8.350049108685198e-05
motion_growth,19,y,0.0,1.0,1.0,8.698244846527814e-05
motion_growth,20,y,0.0,1.0,1.0,8.428616547462298e-05
translation,0,x,0.0,1.0,1.0,3.0352772085961988e-05
translation,1,x,0.0,1.0,1.0,2.8230429421682857e-05
translation,2,x,0.0,1.0,1.0,3.297889044517888e-05
translation,3,x,0.0,1.0,1.0,2.8402061218457675e-05
translation,4,x,0.0,1.0,1.0,2.808930463515935e-05
translation,5,x,0.0,1.0,1.0,3.2805560223891916e-05
translation,6,x,0.0,1.0,1.0,2.8710800648923396e-05
translation,7,x,0.0,1.0,1.0,2.8213390322662235e-05
translation,8,x,0.0,1.0,1.0,3.243791621798664e-05
translation,9,x,0.0,1.0,1.0,2.9110058079595547e-05
translation,10,x,0.0,1.0,1.0,2.7574336002089694e-05
translation,11,x,0.0,1.0,1.0,3.13960400006863e-05
translation,12,x,0.0,1.0,1.0,2.8829010275899236e-05
translation,13,x,0.0,1.0,1.0,2.796835295271194e-05
translation,14,x,0.0,1.0,1.0,3.1051048281938165e-05
translation,15,x,0.0,1.0,1.0,3.0366772563183986e-05
translation,16,x,0.0,1.0,1.0,2.7756394516131877e-05
translation,17,x,0.0,1.0,1.0,2.9529609022915793e-05
translation,18,x,0.0,1.0,1.0,3.1077007434987536e-05
translation,19,x,0.0,1.0,1.0,2.8345334243340403e-05
translation,20,x,0.0,1.0,1.0,2.883398836672768e-05
translation,0,y,0.0,1.0,1.0,1.3786652630187746e-05
translation,1,y,0.0,1.0,1.0,1.1812089837803796e-05
translation,2,y,0.0,1.0,1.0,1.2520122822934354e-05
translation,3,y,0.0,1.0,1.0,1.2045361245327513e-05
translation,4,y,0.0,1.0,1.0,1.1464894726032071e-05
translation,5,y,0.0,1.0,1.0,1.2464140809242963e-05
translation,6,y,0.0,1.0,1.0,1.226669303378003e-05
translation,7,y,0.0,1.0,1.0,1.1454187927029125e-05
translation,8,y,0.0,1.0,1.0,1.216085337318873e-05
translation,9,y,0.0,1.0,1.0,1.1267238392065337e-05
translation,10,y,0.0,1.0,1.0,1.2635335906452383e-05
translation,11,y,0.0,1.0,1.0,1.135878318336836e-05
translation,12,y,0.0,1.0,1.0,1.1191741464244842e-05
translation,13,y,0.0,1.0,1.0,1.3725782480378257e-05
translation,14,y,0.0,1.0,1.0,1.168115926475366e-05
translation,15,y,0.0,1.0,1.0,1.1135619843116729e-05
translation,16,y,0.0,1.0,1.0,1.3017858577768493e-05
translation,17,y,0.0,1.0,1.0,1.1461920735200692e-05
translation,18,y,0.0,1.0,1.0,1.0984949767589569e-05
translation,19,y,0.0,1.0,1.0,1.2885523801742238e-05
translation,20,y,0.0,1.0,1.0,1.1475504891222954e-05
growth,0,x,0.0,1.0,1.0,3.0352772085961988e-05
growth,1,x,0.0,1.0,1.0,3.252746093096448e-05
growth,2,x,0.0,1.0,1.0,3.533522715315485e-05
growth,3,x,0.0,1.0,1.0,4.2329465131274446e-05
growth,4,x,0.0,1.0,1.0,4.451478923783725e-05
growth,5,x,0.0,1.0,1.0,5.427299738869351e-05
growth,6,x,0.0,1.0,1.0,5.859541438724136e-05
growth,7,x,0.0,1.0,1.0,5.6519546347999494e-05
growth,8,x,0.0,1.0,1.0,6.003232832085814e-05
growth,9,x,0.0,1.0,1.0,6.327999980726418e-05
growth,10,x,0.0,1.0,1.0,6.687244355418898e-05
growth,11,x,0.0,1.0,1.0,7.909371865366666e-05
growth,12,x,0.0,1.0,1.0,8.397621120082022e-05
