scene,group,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion,distance_x_nrmse,distance_y_nrmse,growth_log_mae,tau_x,tau_y
translation_growth,canonical,ST-MTM,initial_y_oracle,0.05929690001950722,0.0540963553872792,0.06996995730015071,0.01791876667413078,0.13724262236396834,0.04480706935975606,0.0038317989584307215,0.0026134761034854997,0.039515334798746436,1.4313905444106207,56,0,60,0.12,0.03619930586181604,,0.3244577312591267,,
translation_growth,canonical,ST-MTM,first_frame_2d_affine,0.056765495695971106,0.050031082923091656,0.05219471338337347,0.04428177704396392,0.12925272421949027,0.07197896846504236,0.0035801994281773543,0.0026245426276672603,0.036803835538141594,1.1801315110323325,56,0,60,0.12,0.03619930586181604,,0.3244577312591267,,
translation_growth,canonical,X-only RA-MTM,initial_y_oracle,0.016946389322553625,0.014684426750258186,0.008333333333333333,0.01791876667413078,0.008333333333333333,0.04480706935975606,0.001319886318320704,0.00035679756715090654,0.013304005497066262,0.41515948515739254,56,0,60,0.12,0.20309292121146372,,4.5796699765787705e-17,0.0,
translation_growth,canonical,X-only RA-MTM,first_frame_2d_affine,0.051974654953771904,0.037468823630332014,0.004010851914956271,0.052750629257855126,0.009552672470329782,0.1491892609804509,0.0022262508761689277,0.00046151673240486525,0.022444642285746653,0.7348425866090246,56,0,60,0.12,0.20309292121146372,,4.5796699765787705e-17,0.0,
translation_growth,canonical,Dual-Reference RA-MTM,dual_native,0.008431511887129026,0.008428280826626826,0.008333333333333333,0.008516876734243976,0.008333333333333333,0.009283374681173366,0.000132001389218902,6.263185296560047e-05,0.00013627402259725363,0.02795705351088817,56,0,60,0.12,0.20309292121146372,0.4568819063113984,4.5796699765787705e-17,0.0,0.23009928447945072
local_growth,canonical,TMTM,initial_y_oracle,0.0901694741133889,0.08067003980511772,0.11408058296216805,0.0006867362948784186,0.17245248334183136,0.002065736717641601,0.000644302433918889,0.0004490500832182622,0.0013913924769688953,1.5693836304400939,19,3,60,0.12,0.7749712428025417,,4.464021744846984e-17,,
local_growth,canonical,TMTM,first_frame_2d_affine,0.03660737852767165,0.03422486324977397,0.0381926488607375,0.028779559334759255,0.05774908932953723,0.04518659521049915,0.0015851274130032013,0.0012340029173124856,0.005329231755442301,1.5331532148507332,19,3,60,0.12,0.7749712428025417,,4.464021744846984e-17,,
local_growth,canonical,ST-MTM,initial_y_oracle,0.03507011387201086,0.03301298973689808,0.046678726550696284,0.0006867362948784186,0.07012398511569701,0.002065736717641601,0.0004828524682529454,0.0003469349220040688,0.0006769283750821926,0.8448184041499536,19,0,60,0.12,0.036365426941675744,,0.054948630656003944,,
local_growth,canonical,ST-MTM,first_frame_2d_affine,0.034441487595319197,0.03248764446960198,0.024844939129893686,0.03864404700341692,0.03819706088624277,0.057938873713578545,0.00043774646011824134,0.00035019338896621454,0.0005673756992811217,0.7114980163194702,19,0,60,0.12,0.036365426941675744,,0.054948630656003944,,
local_growth,canonical,X-only RA-MTM,initial_y_oracle,0.005930738527602817,0.00593042404356984,0.008333333333333333,0.0006867362948784186,0.008333333333333333,0.002065736717641601,0.000322675952670111,0.00018941310185801322,0.0005098756855452269,0.8372597507043748,19,0,60,0.12,0.19835930186778392,,4.5883435939586546e-17,0.0,
