scene,method,calibration,t,feature,q,x,reference_error,initial_error,cumulative_motion_error
translation_growth,TMTM,first_frame_affine,5,1,60.858050847457626,50.72958696378612,-10.128463883671508,-7.521125349075234,-2.6073385345962734
translation_growth,TMTM,first_frame_affine,5,2,82.76107594936708,85.87774584053554,3.1166698911684563,2.783408593752256,0.33326129741620036
translation_growth,TMTM,first_frame_affine,6,0,28.401315789473685,28.353846476675187,-0.047469312798497754,4.737716755322939,-4.785186068121437
translation_growth,TMTM,first_frame_affine,6,1,61.54934210526316,51.20975306865975,-10.339589036603407,-7.521125349075234,-2.8184636875281726
translation_growth,TMTM,first_frame_affine,6,2,83.7399193548387,87.6063438180806,3.8664244632418985,2.783408593752256,1.0830158694896426
translation_growth,TMTM,first_frame_affine,7,0,28.45218120805369,27.585580708877387,-0.8666004991763039,4.737716755322939,-5.604317254499243
translation_growth,TMTM,first_frame_affine,7,1,62.29779411764706,51.78595239450809,-10.511841723138971,-7.521125349075234,-2.9907163740637372
translation_growth,TMTM,first_frame_affine,7,2,84.76058467741936,87.70237703905528,2.941792361635919,2.783408593752256,0.15838376788366304
translation_growth,TMTM,first_frame_affine,8,0,28.70291095890411,27.393514266927923,-1.3093966919761861,4.737716755322939,-6.047113447299125
translation_growth,TMTM,first_frame_affine,8,1,62.8125,51.01768662671029,-11.794813373289713,-7.521125349075234,-4.273688024214479
translation_growth,TMTM,first_frame_affine,8,2,85.56225868725869,89.23890857465094,3.6766498873922444,2.783408593752256,0.8932412936399885
translation_growth,TMTM,first_frame_affine,9,0,28.88651877133106,27.29748104595322,-1.589037725377839,4.737716755322939,-6.326754480700778
translation_growth,TMTM,first_frame_affine,9,1,63.390151515151516,50.921653405735555,-12.468498109415961,-7.521125349075234,-4.947372760340727
translation_growth,TMTM,first_frame_affine,9,2,86.79389312977099,89.6230414585498,2.829148328778814,2.783408593752256,0.04573973502655804
translation_growth,TMTM,first_frame_affine,10,0,29.23076923076923,26.241115615231223,-2.989653615538007,4.737716755322939,-7.727370370860946
translation_growth,TMTM,first_frame_affine,10,1,64.28571428571429,51.40181951060919,-12.883894775105105,-7.521125349075234,-5.362769426029871
translation_growth,TMTM,first_frame_affine,10,2,87.61488970588235,91.63973909901901,4.0248493931366625,2.783408593752256,1.2414407993844065
translation_growth,TMTM,first_frame_affine,11,0,29.0625,25.088716963534523,-3.973783036465477,4.737716755322939,-8.711499791788416
translation_growth,TMTM,first_frame_affine,11,1,64.88810043668123,52.170085278407015,-12.718015158274213,-7.521125349075234,-5.196889809198979
translation_growth,TMTM,first_frame_affine,11,2,88.3899456521739,92.02387198291788,3.633926330743975,2.783408593752256,0.8505177369917192
translation_growth,TMTM,first_frame_affine,12,0,29.35030395136778,24.60855085866089,-4.74175309270689,4.737716755322939,-9.47946984802983
translation_growth,TMTM,first_frame_affine,12,1,65.46052631578948,51.40181951060919,-14.058706805180293,-7.521125349075234,-6.537581456105059
translation_growth,TMTM,first_frame_affine,12,2,89.68641114982579,93.56040351851348,3.873992368687695,2.783408593752256,1.090583774935439
translation_growth,TMTM,first_frame_affine,13,0,29.666411042944784,24.704584079635623,-4.961826963309161,4.737716755322939,-9.6995437186321
translation_growth,TMTM,first_frame_affine,13,1,65.97813901345292,51.20975306865975,-14.768385944793167,-7.521125349075234,-7.247260595717933
translation_growth,TMTM,first_frame_affine,13,2,90.16810344827586,94.04056962338714,3.8724661751112848,2.783408593752256,1.0890575813590289
translation_growth,TMTM,first_frame_affine,14,0,29.891304347826086,23.936318311837823,-5.954986035988263,4.737716755322939,-10.692702791311202
translation_growth,TMTM,first_frame_affine,14,1,66.73853711790393,51.59388595255865,-15.14465116534528,-7.521125349075234,-7.623525816270046
translation_growth,TMTM,first_frame_affine,14,2,91.4217715231788,95.7691676009322,4.347396077753402,2.783408593752256,1.5639874840011458
translation_growth,TMTM,first_frame_affine,15,0,30.125,22.68788643916639,-7.437113560833609,4.737716755322939,-12.174830316156548
translation_growth,TMTM,first_frame_affine,15,1,67.394578313253,52.07405205743228,-15.320526255820724,-7.521125349075234,-7.79940090674549
translation_growth,TMTM,first_frame_affine,15,2,92.22426470588235,96.15330048483108,3.9290357789487302,2.783408593752256,1.1456271851964743
translation_growth,TMTM,first_frame_affine,16,0,30.147357723577237,21.82358745039386,-8.323770273183378,4.737716755322939,-13.061487028506317
translation_growth,TMTM,first_frame_affine,16,1,68.06617647058823,51.88198561548282,-16.184190855105413,-7.521125349075234,-8.663065506030179
translation_growth,TMTM,first_frame_affine,16,2,93.29296875,97.97793168335087,4.684962933350874,2.783408593752256,1.9015543395986185
