scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
collective_growth,ReferenceOnly,defined,11,2.396466863336338e-13,3.957723038183758e-13,1.3926637620897965e-13,3.364312195833808e-17,1.9537701275234708e-14,2.476276375068146e-28,,0,0.0,7.531752999057062e-13,0.0,-0.999999999999261,0.025575957959517837,1.9970557194469483e-15,5.755396159656811e-15,2.1632078844251936e-15,1.973729821555834e-17,3.2981025318197984e-15,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,LegacyObjective,defined,11,3.306497156473118e-05,8.914416246241786e-06,9.69001812676377e-05,3.364312195833808e-17,1.729676618908558e-07,2.6198675846161108e-14,,0,0.0,0.0004826130085362479,0.0,-0.9999196274659425,0.028207416995428503,2.7554142970609316e-07,6.073356121542398e-07,3.267794444974628e-07,2.9555990010187037e-07,7.428680205201488e-08,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,TightBudget,defined,11,0.0,0.0,5.5659180967874514e-15,3.364312195833808e-17,0.0,0.0,,0,0.0,1.0658141036401503e-14,0.0,0.0,0.017611042014323175,0.0,0.0,0.0,0.0,0.0,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,LooseBudget,defined,11,4.4343982697262507e-07,3.4922724481134535e-07,3.5269435029997946e-06,3.364312195833808e-17,1.5907308650567785e-08,1.5344826498984147e-16,,0,0.0,2.8113252731998273e-05,0.0,-119.99999758179379,0.11232737498357892,3.695331891438542e-09,1.130152739392542e-08,6.260998412067744e-09,5.931537041290211e-09,2.9102270400945445e-09,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
translation_growth,Full,defined,11,2.692267622802805e-05,4.679668052413414e-06,7.350312418038148e-05,3.364312195833808e-17,1.1917437032001894e-06,1.163432677685625e-12,,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.02734212507493794,2.2435563523356709e-07,4.5809698815920295e-07,3.110001116348984e-07,3.1100011163489847e-07,3.899723377011178e-08,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,RelativeWidth,defined,11,2.963669132995075e-05,3.717957873424401e-06,5.243369085050631e-05,0.1512926727506808,9.461214772522336e-07,8.352974637189998e-13,,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.027370041934773326,2.469724277495896e-07,4.6288621412315924e-07,2.535996523385838e-07,2.535996523385838e-07,3.0982982278536674e-08,0.15106280378349168,0.1510628037834917,,,,,,,,,
translation_growth,OldTime,defined,11,0.4306938004059797,0.06220298296798792,0.06226214769098774,3.364312195833808e-17,0.0030854967512645307,6.508375253518192e-09,,0,0.0,0.0015326698606230593,0.0,-0.42136317534919954,0.027516125002875924,0.0035891150033831643,0.0047634093641418926,0.003948456269531096,0.003948456269531097,0.0005183581913998993,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,NoTime,defined,11,4.3498061893366255e-05,4.383543006625246e-06,9.65464747662755e-05,3.364312195833808e-17,1.8186028394113826e-06,2.684347482221282e-12,,0,0.0,0.0022775089850028962,0.0,-0.9999083004423852,0.02764045901130885,3.6248384911138545e-07,7.230610587072306e-07,1.610374537956242e-07,1.5140915996328078e-07,3.652952505521038e-08,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,NoReferencePenalty,defined,11,0.0007558673720525934,0.00022022335806800206,0.0007941902940737341,3.364312195833808e-17,2.7949548115156483e-06,4.3651824005885854e-12,,0,0.0,0.0041965283402873865,0.0,-0.9986804772789384,0.027577167027629912,6.298894767104945e-06,1.0839911966892639e-05,6.923259131038269e-06,6.923259131038269e-06,1.8351946505666838e-06,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,ReferenceOnly,defined,11,2.633314441923038e-13,3.232969447708456e-13,1.3121355853703182e-13,3.364312195833808e-17,2.2469097666200752e-14,3.1971764645751455e-28,,0,0.0,9.521272659185342e-13,0.0,-0.9999999999990834,0.02579595905262977,2.1944287016025318e-15,6.584362684710259e-15,2.3132113508634376e-15,1.9737298215558336e-17,2.694141206423713e-15,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
