t,order,kkt,relaxed_kkt,raw_sse,relaxed_sns_bound
20,"(0, 4, 2, 3, 5, 1)",5.429941585834794e-16,6.565152725066454e-16,13416.170860306856,0.2445348103992234
20,"(0, 4, 2, 5, 3, 1)",7.175497987735961e-16,1.1817274905119617e-15,12160.495541436172,0.22164777882962064
20,"(1, 3, 5, 0, 2, 4)",1.7507073933510542e-16,1.838242763018607e-15,11084.245275430829,0.20203110448341216
20,"(1, 3, 5, 0, 4, 2)",1.7884150107362472e-16,3.5014147867021085e-16,11087.052071666203,0.20208226359523282
20,"(1, 3, 5, 2, 4, 0)",7.440506421741981e-16,7.002829573404217e-16,12160.495541436172,0.2216477788296207
20,"(1, 3, 5, 4, 2, 0)",1.0504244360106326e-15,3.5014147867021085e-16,10596.304414979058,0.19313746955292507
20,"(1, 5, 3, 0, 2, 4)",2.4466199329852435e-16,6.12747587672869e-16,12339.920594301511,0.22491813605301494
20,"(1, 5, 3, 0, 4, 2)",1.7507073933510542e-16,9.628890663430798e-16,12342.727390536887,0.22496929516483552
20,"(1, 5, 3, 2, 4, 0)",7.878183270079744e-16,4.52505916079829e-16,13416.170860306855,0.2445348103992233
20,"(1, 5, 3, 4, 2, 0)",5.252122180053163e-16,6.961684068715657e-16,11851.979733849741,0.21602450112252786
20,"(2, 4, 0, 1, 3, 5)",2.6260610900265815e-16,3.2695102452583117e-16,10493.51364758777,0.1912639155354233
20,"(2, 4, 0, 1, 5, 3)",1.7507073933510542e-16,1.225495175345738e-15,10429.04569440192,0.19008886649398857
20,"(2, 4, 0, 3, 5, 1)",6.12747587672869e-16,1.225495175345738e-15,12342.727390536886,0.2249692951648355
20,"(2, 4, 0, 5, 3, 1)",3.5014147867021085e-16,9.628890663430798e-16,11087.052071666203,0.20208226359523282
20,"(3, 5, 1, 0, 2, 4)",7.878183270079744e-16,5.252122180053163e-16,10426.238898166546,0.19003770738216805
20,"(3, 5, 1, 0, 4, 2)",2.2759196113563704e-15,2.8040741805395935e-16,10429.045694401924,0.19008886649398865
